7:616,302,29,61,58,899,650,8,224,518,1030,542,1187,15,303,2935,48,861,70,101
18:47812,650,645,518,29,1508,1254,54038,26299,564,32205,70,32,17,8,654,542,30,76,1086
19:19480,63138,32986,2048,9718,88259,81,59733,59083,57453,55247,5145,49867,46443,42632,38807,20378,16664,13694,10285
36:616,1790,2162,322,7608,17,654,58,861,2193,31714,2789,1825,5169,86,65,3162,931,891,999
37:1790,103,4798,472,1370,17,616,65,7210,6457,6292,3476,3006,1845,18215,1752,1598,2140,1631,8
41:17,8000,685,6704,6104,5723,53338,43577,40457,37498,3441,3421,33094,29539,26649,19306,16592,16416,15640,1440
42:2162,899,787,2265,1405,17,84,21949,999,1119,6387,1913,3824,518,1187,48,58,542,131,947
43:17,2983,138,1678,14906,3484,58,6977,29732,2194,84,302,2345,15676,3131,16726,14761,654,521,554
44:84,616,302,76,289,861,285,4813,15,902,356,61,32,245,226,2193,2172,24588,35954,22348
45:347,76,53818,8476,75363,31315,17,564,302,616,15111,89008,83367,79096,78352,74038,73696,72363,7056,65088
46:8,616,302,14663,3141,58,1102,650,65,1050,322,4919,292,1405,1382,564,542,114,131,947
59:4422,245,58,29,616,999,472,3867,32,2117,1631,15,1126,103,1102,1987,654,3017,709,64054
60:302,58,15,616,3088,901,8,1196,518,542,84,29,748,650,726,2369,7624,10466,902,843
69:302,11571,5117,9514,2088,3249,22980,13294,1382,289,563,3280,327,2583,1126,94,4268,402,2640,1987
70:76180,74624,55148,38142,24138,68787,59931,33447,302,6846,12352,118110,116354,103216,83281,80602,68411,5386,4383,32789
94:616,17,65,353,3280,1405,119,3862,944,1126,6894,1403,564,2059,302,654,86,363,1100,84
106:899,1187,866,6704,5723,43577,3421,1440,14316,13580,12914,10048,84,1913,1405,2733,568,9981,692,61
115:58,518,510,353,925,10308,1405,8,15,1839,296,774,7407,4268,409,3742,3307,322,236,188
116:9417,4103,13366,17,687,76,654,138,70,9024,2241,1462,508,3137,302,1400,542,984,8733,867
142:81,273,84,364,58,29,483,1102,5169,88303,8,579,2302,1708,165,1065,4021,4548,4575,3638
143:483,394,3231,95698,9453,9451,93049,902,898,86747,84,83821,8365,7841,7599,73067,710,6535,642,62
148:9906,8964,7477,6868,6511,578,5343,50153,493,4619,44632,35589,31938,3067,30301,2615,2535,21929,19233,18851
150:17,654,302,3223,29,61,32,8,542,650,6,861,1196,15,564,322,84,1693,755,447
156:1822,151,9906,50153,147,302,8,7477,578,5343,30301,18851,15521,10121,17599,9490,9159,8871,774,6423
161:84,5998,6704,5723,43577,3421,1440,14316,12914,616,8000,685,6104,53338,40457,37498,3441,33094,29539,26649
171:302,787,486,3017,18420,15,861,61,518,32,101,84,354,301,289,138,2661,6,1136,8
