7:302,616,58,29,8,518,650,76,542,15
18:47812,518,54038,26299,17,8,650,32,32205,654
36:17,616,654,518,8,84,58,70,542,564
37:17,103,8,1126,15,61,542,616,65,1382
41:17,616,302,654,58,542,15,1405,245,61
42:17,518,302,654,58,542,84,21949,1405,76
43:17,302,1678,14906,76,654,616,2983,29732,58
44:302,616,542,8,15,76,518,84,61,564
45:347,53818,31315,76,564,398,508,885,23970,236
46:302,616,8,58,245,542,76,564,15,508
59:616,654,15,58,542,32,564,76,508,245
60:302,58,616,8,29,84,650,15,76,542
69:302,654,58,61,564,32,76,787,650,508
70:55148,74624,76180,38142,76,302,654,84,616,58
94:17,616,654,302,564,1405,32,58,364,65
106:8,29,15,84,518,32,61,101,554,6
115:58,8,518,15,29,61,289,861,787,902
116:17,76,226,302,654,70,508,564,616,542
142:58,8,84,32,61,29,81,364,861,6
143:394,483,3231
148:17,616,8,654,70,564,542,302,518,58
150:17,302,654,29,8,650,542,564,518,861
156:8,616,58,302,84,542,61,508,245,656
161:616,84,542,15,564,101,76,650,289,29
171:302,84,8,518,15,6,101,650,61,861
172:654,58,542,8,518,861,84,76,564,61
174:17,654,8,84,70,518,508,301,736,15
177:17,654,616,58,542,29,8,84,15,650
196:616,542,650,29,76,15,564,61,354,101
202:302,58,8,542,518,15,32,245,787,354
211:17,1131,12160,815,7622,19749,7794,2543,311,4671
217:17,518,8,245,84,616,1405,508,654,302
220:10178,186,13192,22713,1342,4032,64973,39446,40356,7649
223:616,654,302,58,518,8,84,564,650,76
224:17,302,654,76,616,58,8,866,84,29
225:302,616,654,58,8,542,518,15,84,61
228:17,302,616,654,650,58,568,76,29,542
229:58,518,15,84,32,61,245,508,101,6
231:302,654,616,58,518,8,32,76,61,15
238:441,4513,17,3618,245,1744,710,4421,564,8
241:616,58,542,650,76,84,15,29,518,564
245:17,302,650,81,508,262,62,358,182,1535
249:17,302,616,654,8,518,84,15,94,58
250:616,302,654,58,8,518,542,84,564,29
253:17,189,3107,1527,6434,3172,508,76,8848,4825
257:17,542,15,84,861,32,61,1196,289,6
272:654,8,58,616,518,1102,29,354,650,542
273:17,302,654,650,76,15,101,138,508,289
288:17,616,58,15,650,84,76,61,508,1196
290:17,302,76,654,616,138,84,564,226,58
291:23,15989,16852,26067,17,518,84,26721,10511,1050
292:654,616,58,542,76,564,61,289,32,138
294:17,302,8,15,542,76,564,289,354,364
328:302,654,76,616,58,8,866,84,29,650
331:17,302,654,616,58,8,15,542,650,518
345:1754,77581,385,805
361:616,58,8,518,29,650,15,1196,138,76
376:17,302,58,616,29,84,8,542,76,6
384:17,616,654,302,542,8,15,518,650,564
401:616,58,542,245,32,1102,650,15,508,70
402:654,302,542,8,15,518,84,61,861,564
410:4755,76,17,2880,508,10041,4825,8860,3172,984
448:616,302,8,654,58,518,542,76,245,15
449:17,302,616,654,58,8,15,70,32,518
450:654,302,15,84,76,29,245,363,138,354
452:13523,17,861,5869,8,508,32,1549,656,1410
476:17,70,6164,47309,71577,15424,899,12716,496,245
488:17,616,302,58,542,518,15,61,76,564
490:17,302,15,29,76,650,101,61,32,289
494:17,616,654,58,8,542,518,84,15,564
500:17,302,654,76,616,58,8,866,84,29
514:17,76,9874,654,302,616,984,2833,574,661
525:302,616,654,245,84,70,564,508,15,58
535:17,29,8,542,518,650,76,1102,6,101
536:302,616,654,58,8,542,518,84,15,650
538:302,654,616,58,15,76,101,1102,564,32
539:17,654,58,542,8,518,15,84,564,29
564:8,84,518,15,650,76,564,61,289,861
582:616,29,76,518,84,15,564,861,61,1196
585:17,616,654,302,8,58,245,518,542,15
590:654,8,518,542,29,101,15,76,70,650
618:17,302,616,654,58,542,76,8,15,518
624:168,719,1069,76,5557,135,8733,984,1400,3698
627:11539,83175,5512,19731,32661,780,311,10071,4671,7334
632:81,17,226,508,8,780,564,302,654,616
633:654,302,58,8,518,15,564,650,61,84
634:70,508,17,226,8,564,76,25910,8167,616
646:17,546,1995,654,58,302,76,616,564,70
666:911,10981,1337,11590,21249,25145,18920,39399,35817,46142
667:17,616,654,58,302,542,518,364,15,8
669:17,58,84,81,70,564,518,224,542,301
678:17,654,302,58,8,542,518,84,76,564
680:17,616,654,58,8,650,15,518,29,101
681:441,245,17,1744,508,4513,76,4268,710,16036
682:1528,76,7711,2318,9783,9531,12240,30736,14754,16305
684:168,29161,984,10493,8860,11984,11470,719,22890,69720
715:4671,2543,8392,12861,11855,9435,311,42989,8867,7334
716:17,616,302,654,58,8,542,650,76,15
741:168,984,8860,574,17,616,1400,8733,463,654
750:15,8,76,61,564,32,6,322,787,354
754:17,302,616,654,58,542,29,32,76,61
756:616,84,542,8,15,76,650,861,289,285
757:698,1196,76,17,654,616,58,302,70,236
758:17,15,302,654,616,76,58,1245,236,70858
763:17,29,8,84,650,542,518,15,564,61
773:76,17,302,654,616,8,58,84,101,650
774:17,302,8,518,650,564,76,61,1196,84
775:58,518,542,15,564,76,245,787,301,354
782:26744,616,518,8,654,245,542,508,302,15
784:17,302,542,518,84,76,650,29,101,508
793:16241,11396,27447,1734,14193,35619,42335,728,109031,23833
803:17,302,1119,654,84,245,70,616,138,8
813:17,616,302,654,542,518,61,84,650,564
815:302,654,58,542,15,8,518,32,76,564
817:616,58,29,8,76,518,650,564,1102,542
818:984,5480,8860,1326,463,76,9874,2103,760,574
823:17,245,1744,70,518,654,302,1382,616,94
825:654,616,58,518,8,542,29,650,70,508
833:302,58,8,564,76,84,508,1196,861,238
835:616,654,302,58,518,542,15,84,101,76
838:8066,219,131,7210,1902,15131,12861,8392,288,7622
844:58,8,29,76,518,542,289,15,354,101
850:17,866,354,302,654,70,84,94,58,8
